Date,Lo20,Qnt2,Qnt3,Qnt4,Hi20,Lo10,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Hi10,Spread
1966-05-01,-0.076,-0.041299999999999996,-0.0535,-0.0621,-0.056600000000000004,-0.0842,-0.0699,-0.04769999999999999,-0.039,-0.0526,-0.055,-0.0536,-0.0672,-0.0741,-0.0398,0.044399999999999995
1966-06-01,0.0279,-0.0127,-0.0158,-0.008,-0.0202,0.031,0.0256,-0.009300000000000001,-0.0139,-0.0182,-0.0118,0.0037,-0.0152,-0.022400000000000003,-0.0182,-0.0492
1966-07-01,-0.0049,-0.0092,-0.0089,-0.0111,-0.043899999999999995,-0.0052,-0.004699999999999999,-0.0044,-0.0256,-0.0060999999999999995,-0.013300000000000001,-0.0115,-0.0108,-0.063,-0.0044,0.0007999999999999995
1966-08-01,-0.0832,-0.0634,-0.0721,-0.09630000000000001,-0.0724,-0.1042,-0.0681,-0.06269999999999999,-0.06570000000000001,-0.0783,-0.0623,-0.0926,-0.09910000000000001,-0.06480000000000001,-0.08710000000000001,0.01709999999999999
1966-09-01,-0.0168,0.005600000000000001,-0.016399999999999998,-0.027200000000000002,-0.0313,-0.0024,-0.0268,0.009399999999999999,-0.0076,-0.0104,-0.025699999999999997,-0.026099999999999998,-0.0281,-0.0321,-0.029500000000000002,-0.027100000000000003
1966-10-01,0.0317,0.052199999999999996,0.0414,0.0102,0.0341,0.0236,0.0374,0.057300000000000004,0.034,0.0558,0.019,0.0323,-0.0062,0.0274,0.047400000000000005,0.023800000000000005
1966-11-01,0.0433,0.0005,0.022000000000000002,0.0641,0.0382,0.0747,0.0213,-0.0070999999999999995,0.027999999999999997,0.012,0.0381,0.0304,0.09,0.0332,0.048,-0.0267
1966-12-01,-0.0011,0.0024,0.005600000000000001,0.0222,-0.0298,0.0115,-0.0104,-0.0017000000000000001,0.017,0.0088,0.0007000000000000001,0.039900000000000005,0.009300000000000001,-0.0472,0.0037,-0.0078
1967-01-01,0.1063,0.0709,0.0931,0.1042,0.0983,0.08839999999999999,0.1197,0.0724,0.066,0.09179999999999999,0.09519999999999999,0.08789999999999999,0.11630000000000001,0.09390000000000001,0.1063,0.017900000000000013
1967-02-01,0.009000000000000001,0.0092,0.013999999999999999,0.0319,0.0146,0.0032,0.013300000000000001,0.009000000000000001,0.009899999999999999,0.0171,0.009000000000000001,0.0232,0.0382,-0.0018,0.044199999999999996,0.040999999999999995
1967-03-01,0.0458,0.0401,0.049400000000000006,0.0696,0.051699999999999996,0.050499999999999996,0.0424,0.0436,0.027999999999999997,0.0436,0.058600000000000006,0.0621,0.07490000000000001,0.0562,0.0441,-0.006399999999999996
1967-04-01,0.0501,0.044199999999999996,0.0271,0.055,0.07780000000000001,0.046799999999999994,0.0525,0.0484,0.0294,0.013500000000000002,0.0487,0.053399999999999996,0.056100000000000004,0.1014,0.036699999999999997,-0.010099999999999998
1967-05-01,-0.039900000000000005,-0.044800000000000006,-0.043,-0.0345,-0.0536,-0.045,-0.0362,-0.0472,-0.0365,-0.0437,-0.04190000000000001,-0.0241,-0.0418,-0.058899999999999994,-0.043899999999999995,0.0011000000000000038
1967-06-01,0.042199999999999994,0.0226,0.0069,0.0414,0.047400000000000005,0.032400000000000005,0.0493,0.0288,0.001,-0.0003,0.0177,0.044199999999999996,0.0394,0.0255,0.0873,0.0549
1967-07-01,0.0661,0.0305,0.0576,0.052300000000000006,0.0691,0.066,0.0661,0.011000000000000001,0.0525,0.042300000000000004,0.0762,0.0425,0.062,0.0691,0.0692,0.0031999999999999945
1967-08-01,-0.0088,-0.0143,-0.0021,-0.002,-0.0034000000000000002,-0.0168,-0.0008,-0.014499999999999999,-0.013999999999999999,-0.0027,-0.0014000000000000002,0.0052,-0.009000000000000001,-0.0029,-0.0045000000000000005,0.012299999999999998
1967-09-01,0.0183,0.032,0.048,0.0288,0.049699999999999994,-0.0012,0.037599999999999995,0.0152,0.050199999999999995,0.057999999999999996,0.0363,0.0175,0.039900000000000005,0.0529,0.0435,0.0447
1967-10-01,-0.0263,-0.026600000000000002,-0.0066,-0.0493,-0.011000000000000001,-0.0021,-0.049400000000000006,-0.0302,-0.022799999999999997,0.0278,-0.0479,-0.0351,-0.0629,-0.0181,0.0028000000000000004,0.0049
1967-11-01,0.0103,0.0066,0.008,0.009300000000000001,-0.0023,0.023,-0.0023,0.0004,0.0131,0.0165,-0.003,0.008100000000000001,0.0106,-0.0067,0.0060999999999999995,-0.0169
1967-12-01,0.0356,0.032400000000000005,0.0383,0.037000000000000005,0.0018,0.0414,0.0297,0.026099999999999998,0.0388,0.0345,0.0433,0.0139,0.059800000000000006,-0.0051,0.0147,-0.0267
1968-01-01,-0.011399999999999999,-0.019,-0.0613,-0.049800000000000004,-0.0897,-0.0039000000000000003,-0.0192,-0.0034999999999999996,-0.0348,-0.061900000000000004,-0.0605,-0.048600000000000004,-0.051,-0.0832,-0.1017,-0.0978
1968-02-01,-0.028300000000000002,-0.0239,-0.0359,-0.053099999999999994,-0.0395,-0.0258,-0.031,-0.0264,-0.0212,-0.027999999999999997,-0.0463,-0.0584,-0.0481,-0.029500000000000002,-0.0584,-0.032600000000000004
