Date,Lo20,Qnt2,Qnt3,Qnt4,Hi20,Lo10,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Hi10,Spread
1966-05-01,-0.1002,-0.0753,-0.066,-0.0791,-0.1027,-0.11220000000000001,-0.08349999999999999,-0.0787,-0.0722,-0.06849999999999999,-0.0643,-0.0716,-0.0872,-0.10439999999999999,-0.1014,0.010800000000000004
1966-06-01,0.0104,-0.0066,-0.0045000000000000005,-0.0029,-0.0045000000000000005,0.0097,0.0113,-0.0013,-0.0113,-0.0018,-0.0064,0.0066,-0.0131,-0.003,-0.0058,-0.0155
1966-07-01,-0.0151,-0.0148,-0.016399999999999998,-0.0155,-0.0149,-0.0216,-0.0064,-0.0147,-0.0148,-0.016200000000000003,-0.016399999999999998,-0.0187,-0.0124,-0.0217,-0.0095,0.012100000000000001
1966-08-01,-0.1097,-0.09390000000000001,-0.08529999999999999,-0.1,-0.10289999999999999,-0.1168,-0.1,-0.0931,-0.0947,-0.0895,-0.0818,-0.09449999999999999,-0.10529999999999999,-0.09630000000000001,-0.1081,0.0087
1966-09-01,-0.0286,-0.014199999999999999,-0.0204,-0.0219,-0.0239,-0.0291,-0.027999999999999997,-0.009399999999999999,-0.0192,-0.0147,-0.025099999999999997,-0.0236,-0.0204,-0.0194,-0.0274,0.0017000000000000001
1966-10-01,-0.0269,0.0051,-0.0042,-0.0055000000000000005,-0.023,-0.0432,-0.0045000000000000005,0.0088,0.0013,0.001,-0.0085,0.0018,-0.0125,-0.0184,-0.026600000000000002,0.0166
1966-11-01,0.0562,0.0383,0.0415,0.0393,0.0481,0.0616,0.048799999999999996,0.030899999999999997,0.0458,0.0342,0.047599999999999996,0.039900000000000005,0.0387,0.0377,0.056299999999999996,-0.005300000000000006
1966-12-01,0.016200000000000003,0.0128,0.0159,0.0305,0.011200000000000002,0.018600000000000002,0.013000000000000001,0.0124,0.0132,0.0125,0.018799999999999997,0.0245,0.0363,0.0039000000000000003,0.017,-0.0016000000000000007
1967-01-01,0.1923,0.1464,0.1516,0.1625,0.2002,0.20929999999999999,0.1691,0.1515,0.1412,0.1383,0.16269999999999998,0.14400000000000002,0.18030000000000002,0.1918,0.2069,-0.0023999999999999855
1967-02-01,0.05,0.0256,0.0217,0.0437,0.051100000000000007,0.0613,0.0345,0.0273,0.023799999999999998,0.0235,0.0202,0.0387,0.0484,0.0381,0.061500000000000006,0.00020000000000000573
1967-03-01,0.0508,0.0529,0.062,0.069,0.071,0.06309999999999999,0.034,0.0519,0.0538,0.0484,0.07339999999999999,0.054900000000000004,0.08259999999999999,0.0876,0.057800000000000004,-0.005299999999999985
1967-04-01,0.0536,0.038599999999999995,0.038900000000000004,0.0533,0.0482,0.0635,0.0401,0.0472,0.0298,0.0265,0.0493,0.0587,0.048,0.0512,0.045700000000000005,-0.017799999999999996
1967-05-01,-0.0019,-0.0161,-0.0177,-0.0118,-0.005699999999999999,0.003,-0.0086,-0.0168,-0.015300000000000001,-0.022099999999999998,-0.0141,-0.0163,-0.0075,-0.0016,-0.009000000000000001,-0.012
1967-06-01,0.0919,0.0584,0.0541,0.08439999999999999,0.1108,0.1143,0.0617,0.0746,0.04190000000000001,0.042800000000000005,0.0636,0.0673,0.1007,0.091,0.1265,0.012200000000000003
1967-07-01,0.1023,0.0755,0.0611,0.0833,0.0825,0.10859999999999999,0.0928,0.0723,0.0783,0.0579,0.0642,0.0842,0.0824,0.0676,0.0953,-0.013299999999999992
1967-08-01,0.0137,0.0031,0.0039000000000000003,0.0016,-0.0070999999999999995,0.0091,0.020499999999999997,-0.0008,0.0064,0.0085,-0.0004,0.0098,-0.006,-0.0085,-0.0059,-0.015
1967-09-01,0.056100000000000004,0.056299999999999996,0.0452,0.0684,0.0768,0.053899999999999997,0.059500000000000004,0.036699999999999997,0.0731,0.0521,0.0388,0.07,0.0669,0.0797,0.07429999999999999,0.020399999999999995
1967-10-01,-0.009399999999999999,-0.0301,-0.0345,-0.0259,-0.011399999999999999,0.0088,-0.0365,-0.0341,-0.026699999999999998,-0.029500000000000002,-0.0392,-0.023,-0.0285,-0.0263,0.0014000000000000002,-0.0074
1967-11-01,0.0072,0.0034000000000000002,-0.0004,0.0062,-0.0034999999999999996,0.0079,0.0060999999999999995,-0.0002,0.0066,-0.0005,-0.0002,0.0066,0.0058,-0.0036,-0.0034000000000000002,-0.011300000000000001
1967-12-01,0.095,0.0666,0.054000000000000006,0.0755,0.0875,0.0974,0.0915,0.0659,0.0672,0.038599999999999995,0.0683,0.0533,0.096,0.0652,0.10640000000000001,0.009000000000000008
1968-01-01,0.0436,0.0037,-0.0067,0.0003,-0.0044,0.0608,0.018000000000000002,-0.0125,0.0178,0.0077,-0.0202,0.0,0.0005,0.0088,-0.015700000000000002,-0.0765
1968-02-01,-0.0633,-0.041299999999999996,-0.04650000000000001,-0.0556,-0.0758,-0.0729,-0.0489,-0.0464,-0.0368,-0.039599999999999996,-0.0529,-0.0493,-0.0613,-0.076,-0.0756,-0.002699999999999994
1968-03-01,-0.0104,-0.0075,-0.0033,-0.0111,-0.0025,-0.0126,-0.006999999999999999,-0.0089,-0.0062,0.0046,-0.010700000000000001,-0.0113,-0.011000000000000001,-0.0013,-0.0034999999999999996,0.0091
1968-04-01,0.1516,0.12179999999999999,0.1321,0.1416,0.1724,0.1678,0.1272,0.1106,0.1315,0.11410000000000001,0.1491,0.12789999999999999,0.15439999999999998,0.1548,0.1875,0.019699999999999995
1968-05-01,0.11019999999999999,0.054000000000000006,0.0605,0.0861,0.09269999999999999,0.1319,0.0776,0.0556,0.0527,0.052300000000000006,0.0681,0.0785,0.0931,0.09480000000000001,0.0909,-0.040999999999999995
1968-06-01,0.0115,0.025099999999999997,0.0125,0.0147,-0.002,0.0074,0.0177,0.015600000000000001,0.0333,0.013300000000000001,0.0118,0.022799999999999997,0.0072,0.0044,-0.0075,-0.0149
1968-07-01,-0.019799999999999998,-0.0255,-0.027000000000000003,-0.0393,-0.06,-0.0177,-0.0226,-0.0274,-0.0235,-0.0281,-0.025699999999999997,-0.039900000000000005,-0.0388,-0.053899999999999997,-0.065,-0.0473
1968-08-01,0.0435,0.0405,0.0331,0.0398,0.0231,0.0437,0.0433,0.051699999999999996,0.0294,0.0406,0.025099999999999997,0.043,0.0369,0.024,0.0223,-0.021400000000000002
1968-09-01,0.0892,0.0754,0.0674,0.07730000000000001,0.0635,0.09449999999999999,0.0821,0.0848,0.0661,0.0762,0.057999999999999996,0.0688,0.08470000000000001,0.053399999999999996,0.0717,-0.022799999999999987
1968-10-01,0.0043,0.0022,0.0168,0.0054,0.0045000000000000005,-0.001,0.0113,-0.002,0.0063,0.0060999999999999995,0.0281,0.0161,-0.004,0.0011,0.0072,0.008199999999999999
1968-11-01,0.06860000000000001,0.0702,0.0669,0.078,0.07429999999999999,0.0795,0.0541,0.0673,0.073,0.056299999999999996,0.0781,0.0788,0.07719999999999999,0.0674,0.08,0.0005000000000000004
1968-12-01,0.023700000000000002,0.0011,-0.0022,-0.011399999999999999,-0.0060999999999999995,0.0242,0.0231,0.0086,-0.0062,0.0058,-0.010700000000000001,-0.010700000000000001,-0.012,-0.0096,-0.0032,-0.0274
1969-01-01,-0.0051,0.0009,-0.0092,-0.0177,-0.0199,-0.0016,-0.0098,-0.0042,0.0059,-0.0144,-0.0037,-0.0191,-0.0165,-0.0217,-0.0184,-0.0168
1969-02-01,-0.09519999999999999,-0.07429999999999999,-0.0722,-0.08289999999999999,-0.0965,-0.1035,-0.0842,-0.0809,-0.0678,-0.07429999999999999,-0.07,-0.086,-0.0802,-0.0875,-0.10400000000000001,-0.0005000000000000143
1969-03-01,0.0308,0.0258,0.0241,0.0253,0.015600000000000001,0.029500000000000002,0.0325,0.0326,0.019,0.0246,0.0236,0.0348,0.0169,0.0124,0.0183,-0.011200000000000002
1969-04-01,0.0052,0.0108,0.009899999999999999,0.0038,0.0045000000000000005,0.0084,0.0009,0.0091,0.0125,0.0183,0.001,0.0067,0.0013,0.0028000000000000004,0.0059,-0.0024999999999999996
1969-05-01,0.0088,0.0148,0.0043,0.0023,-0.0109,0.0075,0.0105,0.027200000000000002,0.0027,0.0015,0.0072,0.0115,-0.005699999999999999,-0.0044,-0.0163,-0.023799999999999998
1969-06-01,-0.1229,-0.1036,-0.0943,-0.10439999999999999,-0.125,-0.1274,-0.11689999999999999,-0.1091,-0.09820000000000001,-0.0909,-0.0978,-0.1018,-0.1066,-0.1128,-0.135,-0.007599999999999996
1969-07-01,-0.0966,-0.0836,-0.08449999999999999,-0.09519999999999999,-0.1161,-0.09720000000000001,-0.0959,-0.09119999999999999,-0.0755,-0.0842,-0.0848,-0.10189999999999999,-0.0892,-0.1057,-0.1246,-0.027399999999999994
1969-08-01,0.0552,0.054900000000000004,0.0495,0.0493,0.061,0.0528,0.057800000000000004,0.0558,0.053899999999999997,0.0441,0.054000000000000006,0.0438,0.054299999999999994,0.050300000000000004,0.0699,0.017100000000000004
1969-09-01,-0.0239,-0.0254,-0.0192,-0.0137,-0.0278,-0.0246,-0.0232,-0.0286,-0.022099999999999998,-0.013600000000000001,-0.0241,-0.0033,-0.0233,-0.0288,-0.027000000000000003,-0.002400000000000003
1969-10-01,0.1093,0.0732,0.08199999999999999,0.0862,0.1174,0.1177,0.1,0.0837,0.0622,0.0626,0.0986,0.08929999999999999,0.0834,0.1264,0.11,-0.0076999999999999985
1969-11-01,-0.0658,-0.0425,-0.051,-0.042699999999999995,-0.0652,-0.077,-0.0537,-0.0436,-0.041299999999999996,-0.0471,-0.054400000000000004,-0.047400000000000005,-0.0385,-0.052199999999999996,-0.0758,0.0011999999999999927
1969-12-01,-0.0797,-0.054000000000000006,-0.0601,-0.0483,-0.0684,-0.09539999999999998,-0.06269999999999999,-0.056799999999999996,-0.051100000000000007,-0.0603,-0.059800000000000006,-0.039599999999999996,-0.0562,-0.0616,-0.07400000000000001,0.021399999999999975
1970-01-01,-0.037599999999999995,-0.055099999999999996,-0.044800000000000006,-0.0444,-0.0454,-0.0438,-0.0308,-0.0584,-0.0516,-0.051399999999999994,-0.0392,-0.0418,-0.046799999999999994,-0.0384,-0.0512,-0.007400000000000004
1970-02-01,0.0394,0.048,0.053399999999999996,0.0373,0.032799999999999996,0.03,0.049699999999999994,0.0496,0.0463,0.053899999999999997,0.053,0.0276,0.0462,0.030899999999999997,0.0344,0.004400000000000001
1970-03-01,-0.0227,-0.0187,-0.0154,-0.0231,-0.0416,-0.0253,-0.019799999999999998,-0.0199,-0.0174,-0.0123,-0.018000000000000002,-0.0148,-0.030600000000000002,-0.0383,-0.0443,-0.019
1970-04-01,-0.1822,-0.1247,-0.131,-0.155,-0.19260000000000002,-0.1913,-0.1721,-0.1282,-0.1211,-0.1253,-0.1359,-0.1476,-0.1618,-0.1752,-0.2069,-0.015600000000000003
1970-05-01,-0.0964,-0.08410000000000001,-0.08960000000000001,-0.0964,-0.1008,-0.1009,-0.09140000000000001,-0.0895,-0.0783,-0.0797,-0.09820000000000001,-0.08689999999999999,-0.1051,-0.1035,-0.0986,0.0023000000000000104
1970-06-01,-0.0821,-0.0739,-0.0583,-0.0719,-0.0951,-0.09390000000000001,-0.0691,-0.079,-0.06849999999999999,-0.042,-0.0722,-0.0692,-0.07440000000000001,-0.0906,-0.09880000000000001,-0.004900000000000002
1970-07-01,0.054000000000000006,0.0783,0.0688,0.0591,0.044000000000000004,0.0483,0.0626,0.081,0.076,0.08689999999999999,0.052199999999999996,0.0604,0.0579,0.0453,0.043,-0.005300000000000006
1970-08-01,0.0764,0.054000000000000006,0.057999999999999996,0.056100000000000004,0.0742,0.0729,0.0818,0.0499,0.057699999999999994,0.0584,0.057699999999999994,0.0508,0.0613,0.0801,0.0696,-0.0033000000000000113
